rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20193450,반도,2020-07-15,1183766780,87.7,-2804113320,-70.3,17065939380,141480,-301684,-68.1,1945520,2258,10778,20200720
2,2,0,OLD,20193069,#살아있다,2020-06-24,34586820,2.6,-37027380,-51.7,15675513340,4806,-4384,-47.7,1855485,477,1057,20200720
3,3,0,OLD,20204644,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,33282220,2.5,-35391720,-51.5,1218120740,4085,-3599,-46.8,143174,459,953,20200720
4,4,1,OLD,20200162,소년시절의 너,2020-07-09,16606000,1.2,-8469800,-33.8,286011800,2021,-808,-28.6,33373,162,303,20200720
5,5,1,OLD,20200845,비바리움,2020-07-16,10276380,0.8,-10257580,-50,80788380,1250,-1006,-44.6,9320,124,209,20200720
6,6,-2,OLD,20191048,온워드: 단 하루의 기적,2020-06-17,9421900,0.7,-30066180,-76.1,3389116500,1155,-3455,-74.9,392438,133,203,20200720
7,7,0,NEW,20209882,블루 아워,2020-07-22,9738000,0.7,9738000,100,11310400,1082,1082,100,1242,1,4,20200720
8,8,2,OLD,20183813,결백,2020-06-10,5455500,0.4,-2032940,-27.1,7628263380,671,-187,-21.8,864092,131,179,20200720
9,9,-1,OLD,20112561,원 데이,2012-12-13,5270900,0.4,-7109200,-57.4,1663513600,647,-690,-51.6,223960,89,130,20200720
10,10,-1,OLD,20201841,부활,2020-07-09,3275500,0.2,-3849000,-54,56974500,452,-454,-50.1,7291,69,79,20200720
1,1,0,OLD,20193450,반도,2020-07-15,3987880100,92.5,-675594160,-14.5,15882172600,443164,-73382,-14.2,1804040,2541,13353,20200719
2,2,0,OLD,20193069,#살아있다,2020-06-24,71614200,1.7,2041200,2.9,15640926520,9190,331,3.7,1850679,491,1093,20200719
3,3,0,OLD,20204644,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,68673940,1.6,-7192400,-9.5,1184838520,7684,-641,-7.7,139089,418,745,20200719
4,4,0,OLD,20191048,온워드: 단 하루의 기적,2020-06-17,39488080,0.9,9078480,29.9,3379694600,4610,1115,31.9,391283,169,246,20200719
5,5,0,OLD,20200162,소년시절의 너,2020-07-09,25075800,0.6,5480800,28,269405800,2829,607,27.3,31352,123,178,20200719
6,6,0,OLD,20200845,비바리움,2020-07-16,20533960,0.5,1746680,9.3,70512000,2256,118,5.5,8070,129,200,20200719
7,7,0,OLD,20188364,맛있는 녀석들,2020-07-16,12832760,0.3,3698440,40.5,23453580,1565,436,38.6,2894,152,178,20200719
