"행정구역","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율"
"서울특별시  (1100000000)","9,720,846","4,384,076","          2.22","4,732,275","4,988,571","          0.95"
"서울특별시 종로구 (1111000000)","150,383","74,497","          2.02","73,288","77,095","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,609","5,395","          2.34","5,885","6,724","          0.88"
"서울특별시 종로구 사직동(1111053000)","9,506","4,717","          2.02","4,281","5,225","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,707","1,370","          1.98","1,301","1,406","          0.93"
"서울특별시 종로구 부암동(1111055000)","10,050","4,346","          2.31","4,769","5,281","          0.90"
"서울특별시 종로구 평창동(1111056000)","18,519","7,517","          2.46","8,671","9,848","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,645","3,203","          2.70","4,023","4,622","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,534","4,595","          2.29","4,890","5,644","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,354","2,074","          2.10","2,015","2,339","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,248","5,232","          1.39","4,349","2,899","          1.50"
"서울특별시 종로구 종로5.6가동(1111063000)","5,323","3,406","          1.56","2,887","2,436","          1.19"
"서울특별시 종로구 이화동(1111064000)","7,774","4,463","          1.74","3,661","4,113","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,868","9,324","          1.81","8,164","8,704","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","5,162","2,952","          1.75","2,803","2,359","          1.19"
"서울특별시 종로구 창신제2동(1111068000)","8,394","4,137","          2.03","4,315","4,079","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","7,001","2,905","          2.41","3,422","3,579","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","6,149","2,990","          2.06","2,992","3,157","          0.95"
"서울특별시 종로구 숭인제2동(1111071000)","9,540","5,871","          1.62","4,860","4,680","          1.04"
"서울특별시 중구 (1114000000)","126,092","63,354","          1.99","61,697","64,395","          0.96"
"서울특별시 중구 소공동(1114052000)","2,103","1,131","          1.86","1,019","1,084","          0.94"
"서울특별시 중구 회현동(1114054000)","5,203","3,083","          1.69","2,783","2,420","          1.15"
"서울특별시 중구 명동(1114055000)","2,992","1,589","          1.88","1,271","1,721","          0.74"
"서울특별시 중구 필동(1114057000)","3,982","2,338","          1.70","2,049","1,933","          1.06"
"서울특별시 중구 장충동(1114058000)","4,697","2,761","          1.70","2,376","2,321","          1.02"
"서울특별시 중구 광희동(1114059000)","5,034","3,075","          1.64","2,659","2,375","          1.12"
"서울특별시 중구 을지로동(1114060500)","1,817","1,358","          1.34","1,102","715","          1.54"
"서울특별시 중구 신당동(1114061500)","7,567","4,515","          1.68","3,756","3,811","          0.99"
"서울특별시 중구 다산동(1114062500)","14,454","6,991","          2.07","7,027","7,427","          0.95"
